醫事機構代碼,醫事機構名稱,醫事機構地址,醫事機構電話,成人口罩剩餘數,兒童口罩剩餘數,來源資料時間
5935051849,懷生中西藥局,苗栗縣頭份市中正路１９號,(037)672357,423,0,2020/04/19 07:38:32
5936021363,小太陽藥局,臺中市東勢區豐勢路４１２之１、４１６號１樓,(04)25773481,1044,0,2020/04/19 07:38:32
5936090171,信源藥局,臺中市潭子區潭北里潭子街三段３９號,(04)25367233,477,0,2020/04/19 07:38:32
5937012662,回生藥局,彰化縣彰化市民族路４１０號,(04)7227266,1994,0,2020/04/19 07:38:32
5937031765,和美啄木鳥藥局,彰化縣和美鎮德美路２７０號,(04)7552924,828,0,2020/04/19 07:38:32
5937060060,慶華藥局,彰化縣溪湖鎮光華里二溪路一段１４號,(04)8852441,828,200,2020/04/19 07:38:32
5937140018,民生藥局,彰化縣芬園鄉社口村彰南路４段１１３號,(049)2522595,890,0,2020/04/19 07:38:32
5937140054,正明藥局,彰化縣芬園鄉茄荖村芬草路一段２７３號,(049)2523918,1674,0,2020/04/19 07:38:32
5938101159,山芙蓉藥局,南投縣國姓鄉中興路１４６號,(049)2720351,6972,0,2020/04/19 07:38:32
5939032224,文心藥局,雲林縣虎尾鎮信義路６號,(05)6362365,4338,420,2020/04/19 07:38:32
5939051247,祐安藥局,雲林縣土庫鎮馬光路３９－１號,(05)6655938,927,0,2020/04/19 07:38:32
5939130029,見春藥局,雲林縣麥寮鄉橋頭村仁德路７４號,(05)6912265,2460,0,2020/04/19 07:38:32
5939151162,正和藥局,雲林縣褒忠鄉三民路１１６號,(05)6972776,2727,200,2020/04/19 07:38:32
5939190061,盟生藥局,雲林縣口湖鄉梧南村文光路９５之６號,(05)7907159,2889,240,2020/04/19 07:38:32
5939200053,嘉南藥局,雲林縣水林鄉水北村自強街２號,(05)7853216,7480,283,2020/04/19 07:38:32
5940041668,民雄照安藥局,嘉義縣民雄鄉中樂路２５號１樓,(05)2060368,2484,0,2020/04/19 07:38:32
5940111469,嘉安藥局,嘉義縣太保市麻寮里中山路２段４６號,(05)2387670,910,0,2020/04/19 07:38:32
5940121205,楊藥局,嘉義縣水上鄉忠和村６８之５號,(05)2890687,1893,199,2020/04/19 07:38:32
5940140111,大豐藥局,嘉義縣竹崎鄉內埔村元興路１１１號,(05)2542688,2183,0,2020/04/19 07:38:32
5941020056,民生藥局,臺南市鹽水區中境里三福路５１號,(06)6521071,1062,0,2020/04/19 07:38:32
5941040012,杏林藥局,臺南市麻豆區晉江里興中路１３６號,(06)5722692,2061,190,2020/04/19 07:38:32
5941140035,全民藥局,臺南市官田區隆田里中山路一段４０號,(06)5791057,2128,0,2020/04/19 07:38:32
5941190017,憲宗藥局,臺南市北門區東壁里７０４號,(06)7864225,2898,180,2020/04/19 07:38:32
5941200045,慶豐綜合藥局,臺南市新市區新和里民生路５７號,(06)5014888,522,0,2020/04/19 07:38:32
5941260014,又佳藥局,臺南市左鎮區中正里１５６之９號,(06)5732367,2683,89,2020/04/19 07:38:32
5942220032,文殊堂藥局,高雄市甲仙區西安里文化路２２號,(07)6752176,4163,147,2020/04/19 07:38:32
5943013746,柏吉藥師藥局,屏東縣屏東市勝利路３２２巷１３號,(08)7668255,1886,83,2020/04/19 07:38:32
5943014181,廣東台安藥局,屏東縣屏東市廣東路６２３號,(08)7363988,3338,0,2020/04/19 07:38:32
5943020232,健惠藥局,屏東縣潮州鎮大同路４９號,(08)7894797,887,0,2020/04/19 07:38:32
5943110035,永效藥局,屏東縣高樹鄉司馬村長美路８３號,(08)7960295,1361,165,2020/04/19 07:38:32
5943120022,何藥局,屏東縣萬巒鄉佳佐村民生路１２９號,(08)7836888,1656,170,2020/04/19 07:38:32
